"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sepia.fabnum.fr/51.91.48.32","443","INFO","HTTP","",""
"pre_128cipher","sepia.fabnum.fr/51.91.48.32","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sepia.fabnum.fr/51.91.48.32","443","OK","not offered","",""
"SSLv3","sepia.fabnum.fr/51.91.48.32","443","OK","not offered","",""
"TLS1","sepia.fabnum.fr/51.91.48.32","443","INFO","not offered","",""
"TLS1_1","sepia.fabnum.fr/51.91.48.32","443","INFO","not offered","",""
"TLS1_2","sepia.fabnum.fr/51.91.48.32","443","OK","offered","",""
"TLS1_3","sepia.fabnum.fr/51.91.48.32","443","OK","offered with final","",""
"ALPN_HTTP2","sepia.fabnum.fr/51.91.48.32","443","OK","h2","",""
"ALPN","sepia.fabnum.fr/51.91.48.32","443","INFO","http/1.1","",""
"cipherlist_NULL","sepia.fabnum.fr/51.91.48.32","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sepia.fabnum.fr/51.91.48.32","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sepia.fabnum.fr/51.91.48.32","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sepia.fabnum.fr/51.91.48.32","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sepia.fabnum.fr/51.91.48.32","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","sepia.fabnum.fr/51.91.48.32","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","sepia.fabnum.fr/51.91.48.32","443","OK","offered","",""
"cipherlist_STRONG","sepia.fabnum.fr/51.91.48.32","443","OK","offered","",""
"cipherorder_TLSv1_2","sepia.fabnum.fr/51.91.48.32","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sepia.fabnum.fr/51.91.48.32","443","OK","server","",""
"protocol_negotiated","sepia.fabnum.fr/51.91.48.32","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","sepia.fabnum.fr/51.91.48.32","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","sepia.fabnum.fr/51.91.48.32","443","OK","offered","",""
"FS_ciphers","sepia.fabnum.fr/51.91.48.32","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","sepia.fabnum.fr/51.91.48.32","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","sepia.fabnum.fr/51.91.48.32","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","sepia.fabnum.fr/51.91.48.32","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","sepia.fabnum.fr/51.91.48.32","443","INFO","yes","",""
"sessionresumption_ticket","sepia.fabnum.fr/51.91.48.32","443","INFO","supported","",""
"sessionresumption_ID","sepia.fabnum.fr/51.91.48.32","443","INFO","supported","",""
"TLS_timestamp","sepia.fabnum.fr/51.91.48.32","443","INFO","random","",""
"certificate_compression","sepia.fabnum.fr/51.91.48.32","443","INFO","none","",""
"clientAuth","sepia.fabnum.fr/51.91.48.32","443","INFO","none","",""
"cert_numbers","sepia.fabnum.fr/51.91.48.32","443","INFO","1","",""
"cert_signatureAlgorithm","sepia.fabnum.fr/51.91.48.32","443","OK","SHA256 with RSA","",""
"cert_keySize","sepia.fabnum.fr/51.91.48.32","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","sepia.fabnum.fr/51.91.48.32","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","sepia.fabnum.fr/51.91.48.32","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","sepia.fabnum.fr/51.91.48.32","443","INFO","047F1AD0694501DD16C40AC10F21673F7ED5","",""
"cert_serialNumberLen","sepia.fabnum.fr/51.91.48.32","443","INFO","18","",""
"cert_fingerprintSHA1","sepia.fabnum.fr/51.91.48.32","443","INFO","8E1879F23E4D7A3F1527E8C56E2CD7140A349203","",""
"cert_fingerprintSHA256","sepia.fabnum.fr/51.91.48.32","443","INFO","C62EEB9E156195009AFBD2C214EA932ED4A230C46BD01268ED7A0C1A2E0628A2","",""
"cert","sepia.fabnum.fr/51.91.48.32","443","INFO","-----BEGIN CERTIFICATE----- MIIFJDCCBAygAwIBAgISBH8a0GlFAd0WxArBDyFnP37VMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMjA0MjAxMDE0MjBaFw0yMjA3MTkxMDE0MTlaMBoxGDAWBgNVBAMT D3NlcGlhLmZhYm51bS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEB AMbFG3eFM5mZAfA0L+oho9/HXQuLbdK1IfJpwvf/E4Ik0KggahjSd63ZwKa58t88 Vm/F4jvqAY9xGr+sV95LTuml8ukQuJoLDVT377Ve8MHHa4ffoIvqjDKdXklEoh80 WdgwK2MRWwTOMmi8xIrohBmBwT3cAYYGpHyrUTWLuUQphLNnjtZRBGN2vCgmxDzh /rK49uwjdsdp5iHmYvkfy53Ij1iUMn9wNk3rdBQmL7NEwQJxZNdEZ88nlvXhguhV +GVoWnGfsmn2gTubsEfN0t6K9N3SbRd6l1fLLJUxeX+243Iy9uK39CImkmPijFwp dX4JVpjsje4y0c5wWtrlJz8CAwEAAaOCAkowggJGMA4GA1UdDwEB/wQEAwIFoDAd BgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNV HQ4EFgQUWCpM8VVlkfxnrtvBlfMvSsbNjE8wHwYDVR0jBBgwFoAUFC6zF7dYVsuu UAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8v cjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9y Zy8wGgYDVR0RBBMwEYIPc2VwaWEuZmFibnVtLmZyMEwGA1UdIARFMEMwCAYGZ4EM AQIBMDcGCysGAQQBgt8TAQEBMCgwJgYIKwYBBQUHAgEWGmh0dHA6Ly9jcHMubGV0 c2VuY3J5cHQub3JnMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYA36Veq2iCTx9s re64X04+WurNohKkal6OOxLAIERcKnMAAAGARq4rBgAABAMARzBFAiEA77K02fSJ yOxczdAzJ558sBUvf1DD+C16upJYAvUhlBUCIEGPzVFdvXuR1wDIbRklfePRPMZs B2TRLxhO9NXRJUveAHYARqVV63X6kSAwtaKJafTzfREsQXS+/Um4havy/HD+bUcA AAGARq4rKgAABAMARzBFAiAtiRxNo+4FpP6V4Jr/sT/T2pzddhFcVwdI7Q8z/P71 PQIhALQ0AykWyBAtAZR/efxq0Ow0LQ2EyYPfwY/pJuv4+XOUMA0GCSqGSIb3DQEB CwUAA4IBAQBFOzoIxn+GxyFrMXR5uy6NZYDQ0BpDuNA6LJszGxnIL2cSnArsHo5C j2yFl/XR1dUzBUUy7DHZ5gbw+2/5ZZ0aY8wIFTZB9IIpuDZ9ZdIR2Q1YC6UJQlb5 8cnumWw5PeGZx5rC2vmy4Ss9HNyfox2kHVnVVBCjteKIH8KOnFc/UzNCuwh0Wcc8 sasXeQJhEYWd3k10coPZMPHxiG8NWFyFg2OJhT/aDOFVFn1fp6WwF6xRqGce3gl9 eJWQGVtN2+cSIEIRnoFn82HkGu5KuxGGnvaJe+Dl0Ibw62A+8RARUP0BZBPTUxOH 6NSzl511EJ5ZPajV6thzASeVPkjfdXL2 -----END CERTIFICATE-----","",""
"cert_commonName","sepia.fabnum.fr/51.91.48.32","443","OK","sepia.fabnum.fr","",""
"cert_commonName_wo_SNI","sepia.fabnum.fr/51.91.48.32","443","INFO","localhost","",""
"cert_subjectAltName","sepia.fabnum.fr/51.91.48.32","443","INFO","sepia.fabnum.fr","",""
"cert_trust","sepia.fabnum.fr/51.91.48.32","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","sepia.fabnum.fr/51.91.48.32","443","OK","passed.","",""
"cert_certificatePolicies_EV","sepia.fabnum.fr/51.91.48.32","443","INFO","no","",""
"cert_expirationStatus","sepia.fabnum.fr/51.91.48.32","443","OK","44 >= 30 days","",""
"cert_notBefore","sepia.fabnum.fr/51.91.48.32","443","INFO","2022-04-20 10:14","",""
"cert_notAfter","sepia.fabnum.fr/51.91.48.32","443","OK","2022-07-19 10:14","",""
"cert_extlifeSpan","sepia.fabnum.fr/51.91.48.32","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","sepia.fabnum.fr/51.91.48.32","443","INFO","not present","",""
"cert_crlDistributionPoints","sepia.fabnum.fr/51.91.48.32","443","INFO","--","",""
"cert_ocspURL","sepia.fabnum.fr/51.91.48.32","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","sepia.fabnum.fr/51.91.48.32","443","LOW","not offered","",""
"cert_mustStapleExtension","sepia.fabnum.fr/51.91.48.32","443","INFO","--","",""
"DNS_CAArecord","sepia.fabnum.fr/51.91.48.32","443","LOW","--","",""
"certificate_transparency","sepia.fabnum.fr/51.91.48.32","443","OK","yes (certificate extension)","",""
"certs_countServer","sepia.fabnum.fr/51.91.48.32","443","INFO","3","",""
"certs_list_ordering_problem","sepia.fabnum.fr/51.91.48.32","443","INFO","no","",""
"cert_caIssuers","sepia.fabnum.fr/51.91.48.32","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","sepia.fabnum.fr/51.91.48.32","443","INFO","-----BEGIN CERTIFICATE----- MIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAw TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAw WhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3Mg RW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEK AoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cP R5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdx sxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8Zutm NHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxg Z3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG /kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMC AYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYB Af8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaA FHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcw AoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRw Oi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQB gt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6W PTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wl ikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQz CkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BIm lJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4 avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2 yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1O yK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90Ids hCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+ HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6Zv MldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqX nLRbwHOoq7hHwg== -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","sepia.fabnum.fr/51.91.48.32","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","sepia.fabnum.fr/51.91.48.32","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","sepia.fabnum.fr/51.91.48.32","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","sepia.fabnum.fr/51.91.48.32","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","sepia.fabnum.fr/51.91.48.32","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert <#2>","sepia.fabnum.fr/51.91.48.32","443","INFO","-----BEGIN CERTIFICATE----- MIIFYDCCBEigAwIBAgIQQAF3ITfU6UK47naqPGQKtzANBgkqhkiG9w0BAQsFADA/ MSQwIgYDVQQKExtEaWdpdGFsIFNpZ25hdHVyZSBUcnVzdCBDby4xFzAVBgNVBAMT DkRTVCBSb290IENBIFgzMB4XDTIxMDEyMDE5MTQwM1oXDTI0MDkzMDE4MTQwM1ow TzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2Vh cmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwggIiMA0GCSqGSIb3DQEB AQUAA4ICDwAwggIKAoICAQCt6CRz9BQ385ueK1coHIe+3LffOJCMbjzmV6B493XC ov71am72AE8o295ohmxEk7axY/0UEmu/H9LqMZshftEzPLpI9d1537O4/xLxIZpL wYqGcWlKZmZsj348cL+tKSIG8+TA5oCu4kuPt5l+lAOf00eXfJlII1PoOK5PCm+D LtFJV4yAdLbaL9A4jXsDcCEbdfIwPPqPrt3aY6vrFk/CjhFLfs8L6P+1dy70sntK 4EwSJQxwjQMpoOFTJOwT2e4ZvxCzSow/iaNhUd6shweU9GNx7C7ib1uYgeGJXDR5 bHbvO5BieebbpJovJsXQEOEO3tkQjhb7t/eo98flAgeYjzYIlefiN5YNNnWe+w5y sR2bvAP5SQXYgd0FtCrWQemsAXaVCg/Y39W9Eh81LygXbNKYwagJZHduRze6zqxZ Xmidf3LWicUGQSk+WT7dJvUkyRGnWqNMQB9GoZm1pzpRboY7nn1ypxIFeFntPlF4 FQsDj43QLwWyPntKHEtzBRL8xurgUBN8Q5N0s8p0544fAQjQMNRbcTa0B7rBMDBc SLeCO5imfWCKoqMpgsy6vYMEG6KDA0Gh1gXxG8K28Kh8hjtGqEgqiNx2mna/H2ql PRmP6zjzZN7IKw0KKP/32+IVQtQi0Cdd4Xn+GOdwiK1O5tmLOsbdJ1Fu/7xk9TND TwIDAQABo4IBRjCCAUIwDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAQYw SwYIKwYBBQUHAQEEPzA9MDsGCCsGAQUFBzAChi9odHRwOi8vYXBwcy5pZGVudHJ1 c3QuY29tL3Jvb3RzL2RzdHJvb3RjYXgzLnA3YzAfBgNVHSMEGDAWgBTEp7Gkeyxx +tvhS5B1/8QVYIWJEDBUBgNVHSAETTBLMAgGBmeBDAECATA/BgsrBgEEAYLfEwEB ATAwMC4GCCsGAQUFBwIBFiJodHRwOi8vY3BzLnJvb3QteDEubGV0c2VuY3J5cHQu b3JnMDwGA1UdHwQ1MDMwMaAvoC2GK2h0dHA6Ly9jcmwuaWRlbnRydXN0LmNvbS9E U1RST09UQ0FYM0NSTC5jcmwwHQYDVR0OBBYEFHm0WeZ7tuXkAXOACIjIGlj26Ztu MA0GCSqGSIb3DQEBCwUAA4IBAQAKcwBslm7/DlLQrt2M51oGrS+o44+/yQoDFVDC 5WxCu2+b9LRPwkSICHXM6webFGJueN7sJ7o5XPWioW5WlHAQU7G75K/QosMrAdSW 9MUgNTP52GE24HGNtLi1qoJFlcDyqSMo59ahy2cI2qBDLKobkx/J3vWraV0T9VuG WCLKTVXkcGdtwlfFRjlBz4pYg1htmf5X6DYO8A4jqv2Il9DjXA6USbW1FzXSLr9O he8Y4IWS6wY7bCkjCWDcRQJMEhg76fsO3txE+FiYruq9RUWhiF1myv4Q6W+CyBFC Dfvp7OOGAN6dEOM4+qR9sdjoSYKEBpsr6GtPAQw4dy753ec5 -----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","sepia.fabnum.fr/51.91.48.32","443","INFO","6D99FB265EB1C5B3744765FCBC648F3CD8E1BFFAFDC4C2F99B9D47CF7FF1C24F","",""
"intermediate_cert_notBefore <#2>","sepia.fabnum.fr/51.91.48.32","443","INFO","2021-01-20 19:14","",""
"intermediate_cert_notAfter <#2>","sepia.fabnum.fr/51.91.48.32","443","OK","2024-09-30 18:14","",""
"intermediate_cert_expiration <#2>","sepia.fabnum.fr/51.91.48.32","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","sepia.fabnum.fr/51.91.48.32","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","sepia.fabnum.fr/51.91.48.32","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","sepia.fabnum.fr/51.91.48.32","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","sepia.fabnum.fr/51.91.48.32","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","sepia.fabnum.fr/51.91.48.32","443","INFO","1654421579","",""
"HSTS","sepia.fabnum.fr/51.91.48.32","443","LOW","not offered","",""
"HPKP","sepia.fabnum.fr/51.91.48.32","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","sepia.fabnum.fr/51.91.48.32","443","INFO","nginx","",""
"banner_application","sepia.fabnum.fr/51.91.48.32","443","INFO","No application banner found","",""
"cookie_count","sepia.fabnum.fr/51.91.48.32","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","sepia.fabnum.fr/51.91.48.32","443","MEDIUM","--","",""
"banner_reverseproxy","sepia.fabnum.fr/51.91.48.32","443","INFO","--","","CWE-200"
"heartbleed","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","sepia.fabnum.fr/51.91.48.32","443","OK","supported","","CWE-310"
"secure_client_renego","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","sepia.fabnum.fr/51.91.48.32","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","sepia.fabnum.fr/51.91.48.32","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=C62EEB9E156195009AFBD2C214EA932ED4A230C46BD01268ED7A0C1A2E0628A2","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","sepia.fabnum.fr/51.91.48.32","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","sepia.fabnum.fr/51.91.48.32","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","sepia.fabnum.fr/51.91.48.32","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","sepia.fabnum.fr/51.91.48.32","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","sepia.fabnum.fr/51.91.48.32","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","sepia.fabnum.fr/51.91.48.32","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_win81","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA384","",""
"clientsimulation-ie_11_winphone81","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-SHA","",""
"clientsimulation-ie_11_win10","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_130_osx_10146","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","sepia.fabnum.fr/51.91.48.32","443","INFO","No connection","",""
"clientsimulation-java_8u161","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java1102","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_102e","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_110l","sepia.fabnum.fr/51.91.48.32","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
